지점명,합계 일사량(MJ/m2)_count,합계 일사량(MJ/m2)_mean,합계 일사량(MJ/m2)_std,일강수량(mm)_count,일강수량(mm)_mean,일강수량(mm)_std
영월,1827,13.597263273125343,2.2215450693765844,1827,9.540585659551178,11.349046238915733
영주,1827,10.88038314176245,0.1213883086137423,1827,11.871975916803502,12.48543752321834
영천,1827,4.8,2.770500684284525,1827,9.529666119321291,9.6273044096021
완도,1827,15.739781061850028,3.078686679681051,1827,10.855719759168036,13.824263412112348
울릉도,1827,13.678790366721403,8.344407569900484,1827,8.991379310344827,11.20048887810302
울산,1827,15.071253420908594,4.61148560320873,1827,10.719731800766285,11.760520357733174
울진,1827,13.597263273125343,2.2215450693765844,1827,9.705637657361796,10.76173388321448
원주,1827,14.299414340448823,7.165169100093707,1827,8.716365626710454,10.828443530963467
의령군,1823,15.361426220515634,7.007225606332273,1823,13.084887547997806,12.466667438006448
의성,1827,2.936217843459223,1.6926713310926946,1827,9.050602079912425,8.389311816762946
이천,1827,14.240251778872468,0.2368635002141247,1827,11.684893267651887,12.915253470579007
인제,1827,15.060448823207443,0.2368650582939932,1827,10.009003831417624,10.284932443664417
인천,1827,14.567449370552819,7.238441929999062,1827,9.755883962780514,12.946276413405105
임실,1827,14.278970990695129,0.608003963867045,1827,10.104406130268199,12.257299879882739
장수,1827,7.918648056923919,0.8073003300796235,1827,10.83199233716475,14.676639042944212
장흥,1827,6.110005473453749,3.5266885836145114,1827,11.319458128078818,14.796980719887571
전주,1827,14.186119321291736,7.021835361454081,1827,9.999425287356322,13.856392467399239
정선군,1823,8.145474492594625,4.701500272296936,1823,9.882638507953923,10.072122954824929
정읍,1827,15.338691844553914,2.977721271769501,1827,9.563218390804598,11.957297223332262
제주,1827,13.549896004378763,8.18560547942265,1827,8.997701149425287,13.278807580029216
제천,1827,13.597263273125343,2.2215450693765844,1827,10.991954022988505,13.00105010343282
진도군,1824,11.720153508771931,0.12119119192992586,1824,10.441721491228071,15.722763544278434
진주,1825,15.363813698630137,7.139244473602874,1825,14.56558904109589,14.770526139230938
창원,1827,14.627690202517789,7.260360601504955,1827,13.926847290640394,17.049337362865803
천안,1827,11.799272030651341,2.2709754590236817,1827,9.89471811713191,12.368882902473842
철원,1827,14.509671592775042,7.534233546853323,1827,11.43648056923919,14.238235397877732
청송군,1826,15.077185104052573,7.2160816419854825,1826,9.716100766703178,8.638374296491142
청주,1826,14.84410186199343,7.519804361235883,1826,9.61040525739321,13.465475026848852
추풍령,1827,14.948615216201423,7.422042110429629,1827,9.739244663382594,10.667633231976989
춘천,1826,13.98763417305586,7.093458486796514,1826,11.059884994523548,12.256189916708932
충주,1827,14.146633825944171,5.907031342055785,1827,10.82567049808429,11.978063329464652
태백,1827,16.313689107827038,2.572620917937855,1827,9.135987958401753,11.448740497402055
통영,1825,15.018821917808218,4.659943490777398,1825,15.978630136986302,16.383047717333042
파주,1827,14.09767378215654,5.732661348890167,1827,11.90049261083744,16.2401725200562
포항,1827,14.645955117679256,7.21097826664725,1827,9.357553366174056,12.792035505685638
함양군,1827,15.207235905856596,7.374519671414336,1827,10.917898193760262,11.219534255958523
합천,1827,12.89487137383689,0.2608727083735935,1827,12.45632183908046,11.862758681198281
해남,1823,13.590850246845857,2.219752755453709,1823,9.152029621503019,14.057847644674414
홍성,1827,14.290448823207445,7.2750339043094945,1827,10.164915161466885,13.613833106113088
홍천,1827,15.88064039408867,0.23686912605913382,1827,10.33007662835249,11.343815468867403
흑산도,1827,13.817120963327861,7.827596681025633,1827,7.465325670498084,9.074937529957541
