광역,기초,에너지원,생산량(toe),발전량(MWh),보급용량_발전_누적(kW),보급용량_발전_신규(kW)
충남,논산시,신·재생에너지,100902.3437,432054,348678,39794
충남,계룡시,신·재생에너지,2375.771357,4632,4479,575
충남,당진시,신·재생에너지,546554.0615,2310393,627993,50552
충남,금산군,신·재생에너지,60264.68005,257774,209271,26251
충남,부여군,신·재생에너지,75880.36213,313042,249677,7345
충남,서천군,신·재생에너지,57556.17643,248946,197251,19588
충남,청양군,신·재생에너지,24019.87205,90375,72458,4310
충남,홍성군,신·재생에너지,55216.85376,228340,194077,16947
충남,예산군,신·재생에너지,49109.8296,188824,161945,24638
충남,태안군,신·재생에너지,331643.9629,1531667,1121588,346111
충남,기타,신·재생에너지,3297.67066,3021,2366,0
전북,전북,신·재생에너지,2981913.801,10205081,5427529,373016
전북,전주시,신·재생에너지,138779.3884,453427,160777,12106
전북,군산시,신·재생에너지,1500424.892,4391704,1250685,27030
전북,익산시,신·재생에너지,309633.0061,1009565,682163,64865
전북,정읍시,신·재생에너지,167289.4348,731504,550043,28683
전북,남원시,신·재생에너지,144405.7041,632253,513313,55295
전북,김제시,신·재생에너지,162925.3724,712102,564093,51073
전북,완주군,신·재생에너지,112604.3906,356257,301522,39174
전북,진안군,신·재생에너지,77777.59099,340529,184720,4529
전북,무주군,신·재생에너지,21081.12498,76725,64416,14282
전북,장수군,신·재생에너지,65656.67452,281719,221158,4042
전북,임실군,신·재생에너지,64795.16017,282934,230379,21683
전북,순창군,신·재생에너지,27987.66675,108711,103451,20920
전북,고창군,신·재생에너지,111093.614,502220,352178,23000
전북,부안군,신·재생에너지,72830.69717,321417,245548,6333
전북,기타,신·재생에너지,4629.084404,4015,3082,0
전남,전남,신·재생에너지,1921767.58,8247703,6637014,966943
전남,목포시,신·재생에너지,27134.54073,98547,80837,13337
전남,여수시,신·재생에너지,143767.7408,512557,313430,29836
전남,순천시,신·재생에너지,113501.2296,480685,347229,32537
전남,나주시,신·재생에너지,126070.2272,535092,466234,72983
전남,광양시,신·재생에너지,52738.96695,218639,199314,25711
전남,담양군,신·재생에너지,24374.01099,75590,77219,16915
전남,곡성군,신·재생에너지,23173.72481,97471,86130,13159
전남,구례군,신·재생에너지,7861.865279,25489,24171,4476
전남,고흥군,신·재생에너지,143813.2947,637149,550936,205315
전남,보성군,신·재생에너지,55070.53205,239397,195049,26957
전남,화순군,신·재생에너지,81010.33463,340283,270972,23703
전남,장흥군,신·재생에너지,45459.52829,194465,166894,18084
전남,강진군,신·재생에너지,68980.61829,284582,225207,8535
전남,해남군,신·재생에너지,183111.3419,830144,648651,12191
전남,영암군,신·재생에너지,148708.5278,683193,562780,46176
전남,무안군,신·재생에너지,105764.991,455989,357072,11716
전남,함평군,신·재생에너지,30583.36699,130981,116974,15408
전남,영광군,신·재생에너지,176902.9905,807107,665633,111789
전남,장성군,신·재생에너지,40937.02652,172145,152418,14465
전남,완도군,신·재생에너지,43717.09636,154210,108443,2478
전남,진도군,신·재생에너지,35325.9939,151913,127659,17601
전남,신안군,신·재생에너지,241660.9616,1117637,890337,243571
전남,기타,신·재생에너지,2098.669768,4437,3426,0
경북,경북,신·재생에너지,1405487.338,5804541,4349392,599110
경북,포항시,신·재생에너지,77369.10767,243027,188342,44504
경북,경주시,신·재생에너지,90583.82442,356240,256676,39278
경북,김천시,신·재생에너지,90784.2623,360073,289277,43301
경북,안동시,신·재생에너지,119999.5045,515497,410507,37307
경북,구미시,신·재생에너지,89403.57285,317991,237333,24472
경북,영주시,신·재생에너지,63832.8443,278055,216472,19175
경북,영천시,신·재생에너지,58614.55208,245844,194858,27217
경북,상주시,신·재생에너지,128234.9923,566321,447259,61833
경북,문경시,신·재생에너지,57767.19217,245610,160722,29154
경북,경산시,신·재생에너지,52335.24668,184984,159847,37024
경북,의성군,신·재생에너지,89827.79031,406046,301616,26357
경북,청송군,신·재생에너지,21984.46891,92711,61321,3712
경북,영양군,신·재생에너지,158840.6299,735059,398547,29736
경북,영덕군,신·재생에너지,58290.41256,262590,199817,21180
경북,청도군,신·재생에너지,14553.18733,52769,45171,7414
경북,고령군,신·재생에너지,16816.96993,66401,53429,11957
경북,성주군,신·재생에너지,27680.5706,114908,94958,10214
경북,칠곡군,신·재생에너지,43914.53133,168539,129382,20611
경북,예천군,신·재생에너지,58098.73496,244127,195608,18910
경북,봉화군,신·재생에너지,50695.40875,218944,224560,81907
경북,울진군,신·재생에너지,29622.08258,119350,78585,3848
경북,울릉군,신·재생에너지,1801.376993,4963,2833,0
경북,기타,신·재생에너지,4436.074812,4491,2274,0
경남,경남,신·재생에너지,919878.4852,3381157,2694200,258131
경남,진주시,신·재생에너지,56914.96671,191247,136943,20321
경남,통영시,신·재생에너지,15677.98224,54109,47560,2080
경남,사천시,신·재생에너지,36020.89453,150288,122572,17045
경남,김해시,신·재생에너지,57386.4339,176244,159234,33513
경남,밀양시,신·재생에너지,33651.61002,129563,112054,27826
경남,거제시,신·재생에너지,20582.78354,48703,39917,4918
경남,양산시,신·재생에너지,50489.57037,172015,107894,6987
경남,창원시,신·재생에너지,107774.1301,269347,208367,22467
경남,의령군,신·재생에너지,36773.2245,141268,122377,6437
경남,함안군,신·재생에너지,77914.99261,184124,115604,23356
경남,창녕군,신·재생에너지,32409.33587,131575,104236,12789
경남,고성군,신·재생에너지,71248.32768,314066,266955,5152
경남,남해군,신·재생에너지,25699.99358,106977,88926,14114
경남,하동군,신·재생에너지,93698.62996,422445,367262,8792
경남,산청군,신·재생에너지,30912.42731,130629,104019,9927
경남,함양군,신·재생에너지,24093.28777,100161,83502,16016
경남,거창군,신·재생에너지,48292.37474,211559,159285,5694
경남,합천군,신·재생에너지,96247.47315,438046,340570,20698
경남,기타,신·재생에너지,4090.046629,8790,6922,0
제주,제주도,신·재생에너지,689595.2062,3006387,1497701,150455
제주,제주시,신·재생에너지,316171.4583,1359575,826162,138769
제주,서귀포시,신·재생에너지,372685.5674,1645485,670458,11686
제주,기타,신·재생에너지,738.180558,1327,1081,0
서울,서울,재생에너지,235462.9735,361266,0,0
서울,종로구,재생에너지,3266.013065,6571,0,0
서울,중구,재생에너지,2664.465964,2901,0,0
서울,용산구,재생에너지,2901.27259,3352,0,0
서울,성동구,재생에너지,4821.375881,10864,0,0
서울,광진구,재생에너지,5727.196261,12577,0,0
서울,동대문구,재생에너지,5836.264702,12601,0,0
서울,중랑구,재생에너지,5796.553461,11546,0,0
서울,성북구,재생에너지,6277.836907,9395,0,0
서울,강북구,재생에너지,4126.67613,7229,0,0
서울,도봉구,재생에너지,5181.98943,8385,0,0
서울,노원구,재생에너지,19348.85545,28763,0,0
서울,은평구,재생에너지,8117.851698,12653,0,0
서울,서대문구,재생에너지,5040.446055,8479,0,0
서울,마포구,재생에너지,24107.23169,16953,0,0
서울,양천구,재생에너지,13733.56265,11109,0,0
서울,강서구,재생에너지,18473.63923,49603,0,0
서울,구로구,재생에너지,6417.792812,11167,0,0
서울,금천구,재생에너지,4135.481261,8694,0,0
서울,영등포구,재생에너지,6481.696106,9329,0,0
서울,동작구,재생에너지,5064.298376,5770,0,0
서울,관악구,재생에너지,7223.679961,13393,0,0
서울,서초구,재생에너지,7415.735953,9400,0,0
