지점,지점명,일시,평균지면온도(°C)
102,백령도,2021-07-01,30.7
102,백령도,2021-08-01,26.7
102,백령도,2021-09-01,23.2
102,백령도,2021-10-01,15.8
102,백령도,2021-11-01,9.1
102,백령도,2021-12-01,2.7
235,보령,2021-01-01,1.6
235,보령,2021-02-01,4.2
235,보령,2021-03-01,10.1
235,보령,2021-04-01,16.1
235,보령,2021-05-01,18.5
235,보령,2021-06-01,25.2
235,보령,2021-07-01,29.8
235,보령,2021-08-01,28.3
235,보령,2021-09-01,23.8
235,보령,2021-10-01,18.9
235,보령,2021-11-01,10.6
235,보령,2021-12-01,3.9
258,보성군,2021-01-01,2.7
258,보성군,2021-02-01,4.8
258,보성군,2021-03-01,10.0
258,보성군,2021-04-01,14.2
258,보성군,2021-05-01,18.8
258,보성군,2021-06-01,24.6
258,보성군,2021-07-01,28.5
258,보성군,2021-08-01,28.7
258,보성군,2021-09-01,24.1
258,보성군,2021-10-01,18.3
258,보성군,2021-11-01,9.9
258,보성군,2021-12-01,4.3
226,보은,2021-01-01,-0.4
226,보은,2021-02-01,3.0
226,보은,2021-03-01,9.8
226,보은,2021-04-01,15.7
226,보은,2021-05-01,19.4
226,보은,2021-06-01,25.3
226,보은,2021-07-01,28.9
226,보은,2021-08-01,26.5
226,보은,2021-09-01,22.5
226,보은,2021-10-01,16.1
226,보은,2021-11-01,7.2
226,보은,2021-12-01,1.1
271,봉화,2021-01-01,-2.5
271,봉화,2021-02-01,1.2
271,봉화,2021-03-01,7.9
271,봉화,2021-04-01,13.6
271,봉화,2021-05-01,17.1
271,봉화,2021-06-01,24.2
271,봉화,2021-07-01,29.7
271,봉화,2021-08-01,25.5
271,봉화,2021-09-01,21.4
271,봉화,2021-10-01,14.1
271,봉화,2021-11-01,5.7
271,봉화,2021-12-01,0.0
159,부산,2021-01-01,4.8
159,부산,2021-02-01,9.0
159,부산,2021-03-01,14.0
159,부산,2021-04-01,20.1
159,부산,2021-05-01,22.1
159,부산,2021-06-01,27.9
159,부산,2021-07-01,30.9
159,부산,2021-08-01,29.6
159,부산,2021-09-01,24.9
159,부산,2021-10-01,20.7
159,부산,2021-11-01,12.1
159,부산,2021-12-01,4.7
243,부안,2021-01-01,2.6
243,부안,2021-02-01,5.0
243,부안,2021-03-01,10.6
243,부안,2021-04-01,16.2
243,부안,2021-05-01,19.7
243,부안,2021-06-01,26.3
243,부안,2021-07-01,31.1
243,부안,2021-08-01,28.6
243,부안,2021-09-01,24.2
243,부안,2021-10-01,18.7
243,부안,2021-11-01,10.4
243,부안,2021-12-01,4.3
236,부여,2021-01-01,1.0
236,부여,2021-02-01,4.1
236,부여,2021-03-01,10.2
236,부여,2021-04-01,16.0
236,부여,2021-05-01,19.5
236,부여,2021-06-01,26.5
236,부여,2021-07-01,30.7
236,부여,2021-08-01,29.1
236,부여,2021-09-01,24.4
236,부여,2021-10-01,17.6
236,부여,2021-11-01,9.1
236,부여,2021-12-01,2.1
104,북강릉,2021-01-01,-1.8
104,북강릉,2021-02-01,3.2
104,북강릉,2021-03-01,7.9
104,북강릉,2021-04-01,14.8
104,북강릉,2021-05-01,18.5
104,북강릉,2021-06-01,24.6
104,북강릉,2021-07-01,30.9
104,북강릉,2021-08-01,26.3
104,북강릉,2021-09-01,22.6
104,북강릉,2021-10-01,15.9
104,북강릉,2021-11-01,8.1
104,북강릉,2021-12-01,1.9
255,북창원,2021-01-01,0.1
255,북창원,2021-02-01,5.2
255,북창원,2021-03-01,11.6
255,북창원,2021-04-01,17.4
255,북창원,2021-05-01,20.9
255,북창원,2021-06-01,24.8
255,북창원,2021-07-01,28.2
255,북창원,2021-08-01,28.1
255,북창원,2021-09-01,24.1
255,북창원,2021-10-01,18.8
255,북창원,2021-11-01,10.3
255,북창원,2021-12-01,3.8
93,북춘천,2021-01-01,-3.6
93,북춘천,2021-02-01,1.3
93,북춘천,2021-03-01,8.9
93,북춘천,2021-04-01,15.5
93,북춘천,2021-05-01,18.8
93,북춘천,2021-06-01,24.8
93,북춘천,2021-07-01,32.2
93,북춘천,2021-08-01,28.1
93,북춘천,2021-09-01,23.5
93,북춘천,2021-10-01,15.0
93,북춘천,2021-11-01,5.7
93,북춘천,2021-12-01,-1.1
289,산청,2021-01-01,0.1
289,산청,2021-02-01,3.8
289,산청,2021-03-01,10.6
289,산청,2021-04-01,17.6
289,산청,2021-05-01,20.2
289,산청,2021-06-01,25.4
289,산청,2021-07-01,30.4
289,산청,2021-08-01,29.2
289,산청,2021-09-01,23.6
289,산청,2021-10-01,17.1
289,산청,2021-11-01,8.1
289,산청,2021-12-01,2.5
137,상주,2021-01-01,-1.2
137,상주,2021-02-01,2.9
137,상주,2021-03-01,10.1
137,상주,2021-04-01,16.6
137,상주,2021-05-01,20.1
137,상주,2021-06-01,27.4
137,상주,2021-07-01,31.3
137,상주,2021-08-01,28.0
137,상주,2021-09-01,24.4
137,상주,2021-10-01,16.8
137,상주,2021-11-01,8.2
137,상주,2021-12-01,2.0
189,서귀포,2021-01-01,7.0
189,서귀포,2021-02-01,11.5
189,서귀포,2021-03-01,15.0
189,서귀포,2021-04-01,18.6
189,서귀포,2021-05-01,21.2
189,서귀포,2021-06-01,26.1
189,서귀포,2021-07-01,29.0
189,서귀포,2021-08-01,29.0
189,서귀포,2021-09-01,26.3
189,서귀포,2021-10-01,22.6
189,서귀포,2021-11-01,14.5
189,서귀포,2021-12-01,8.8
129,서산,2021-01-01,0.4
129,서산,2021-02-01,3.4
129,서산,2021-03-01,9.8
129,서산,2021-04-01,15.1
129,서산,2021-05-01,18.7
129,서산,2021-06-01,24.8
129,서산,2021-07-01,30.4
129,서산,2021-08-01,29.0
129,서산,2021-09-01,24.8
129,서산,2021-10-01,17.9
129,서산,2021-11-01,9.0
129,서산,2021-12-01,2.4
108,서울,2021-01-01,-2.0
108,서울,2021-02-01,2.3
108,서울,2021-03-01,9.7
108,서울,2021-04-01,15.7
108,서울,2021-05-01,18.8
108,서울,2021-06-01,25.2
108,서울,2021-07-01,29.7
108,서울,2021-08-01,28.2
108,서울,2021-09-01,24.6
108,서울,2021-10-01,16.7
108,서울,2021-11-01,7.9
108,서울,2021-12-01,0.8
188,성산,2021-01-01,4.8
188,성산,2021-02-01,7.8
188,성산,2021-03-01,12.7
188,성산,2021-04-01,19.2
188,성산,2021-05-01,21.4
188,성산,2021-06-01,25.5
188,성산,2021-07-01,28.4
188,성산,2021-08-01,27.7
188,성산,2021-09-01,24.9
188,성산,2021-10-01,19.8
188,성산,2021-11-01,11.8
188,성산,2021-12-01,6.5
239,세종,2021-01-01,-0.1
239,세종,2021-02-01,3.3
239,세종,2021-03-01,10.5
239,세종,2021-04-01,17.3
239,세종,2021-05-01,19.8
239,세종,2021-06-01,27.5
239,세종,2021-07-01,31.8
239,세종,2021-08-01,29.6
239,세종,2021-09-01,25.4
239,세종,2021-10-01,18.4
239,세종,2021-11-01,9.4
239,세종,2021-12-01,2.0
90,속초,2021-01-01,-0.3
90,속초,2021-02-01,4.5
90,속초,2021-03-01,8.4
90,속초,2021-04-01,14.7
90,속초,2021-05-01,19.8
90,속초,2021-06-01,23.3
90,속초,2021-07-01,33.3
90,속초,2021-08-01,27.2
90,속초,2021-09-01,23.9
90,속초,2021-10-01,16.1
90,속초,2021-11-01,9.2
90,속초,2021-12-01,2.7
119,수원,2021-01-01,-1.1
119,수원,2021-02-01,2.8
119,수원,2021-03-01,8.7
119,수원,2021-04-01,14.9
119,수원,2021-05-01,17.8
119,수원,2021-06-01,24.9
119,수원,2021-07-01,29.3
119,수원,2021-08-01,27.2
119,수원,2021-09-01,23.1
119,수원,2021-10-01,16.1
119,수원,2021-11-01,7.6
119,수원,2021-12-01,0.7
254,순창군,2021-01-01,-0.2
254,순창군,2021-02-01,1.9
254,순창군,2021-03-01,8.9
254,순창군,2021-04-01,14.1
254,순창군,2021-05-01,17.8
254,순창군,2021-06-01,23.8
254,순창군,2021-07-01,29.8
254,순창군,2021-08-01,29.0
254,순창군,2021-09-01,24.2
254,순창군,2021-10-01,17.4
254,순창군,2021-11-01,9.1
254,순창군,2021-12-01,3.0
174,순천,2021-01-01,0.8
174,순천,2021-02-01,3.3
174,순천,2021-03-01,8.9
174,순천,2021-04-01,14.3
174,순천,2021-05-01,18.2
174,순천,2021-06-01,25.0
174,순천,2021-07-01,28.4
174,순천,2021-08-01,26.9
174,순천,2021-09-01,21.7
174,순천,2021-10-01,16.9
174,순천,2021-11-01,7.9
174,순천,2021-12-01,2.3
136,안동,2021-01-01,-1.7
136,안동,2021-02-01,2.7
136,안동,2021-03-01,10.0
136,안동,2021-04-01,16.6
136,안동,2021-05-01,19.4
136,안동,2021-06-01,26.6
136,안동,2021-07-01,31.8
136,안동,2021-08-01,27.7
136,안동,2021-09-01,23.4
136,안동,2021-10-01,16.9
136,안동,2021-11-01,7.3
136,안동,2021-12-01,0.1
257,양산시,2021-01-01,1.2
257,양산시,2021-02-01,5.8
257,양산시,2021-03-01,11.9
257,양산시,2021-04-01,17.4
257,양산시,2021-05-01,21.0
257,양산시,2021-06-01,26.2
257,양산시,2021-07-01,30.1
257,양산시,2021-08-01,28.9
257,양산시,2021-09-01,23.7
257,양산시,2021-10-01,18.0
257,양산시,2021-11-01,9.3
257,양산시,2021-12-01,2.5
202,양평,2021-01-01,-1.4
202,양평,2021-02-01,2.9
202,양평,2021-03-01,9.5
202,양평,2021-04-01,16.1
202,양평,2021-05-01,19.2
